isa;endianness;instructionwidth_type;instructionwidth
alpha;little;fixed;32
amd64;little;variable;8-120
arm64;little;fixed;32
armel;little;fixed;32
armhf;little;fixed;32
hppa;big;fixed;32
i386;little;variable;8-120
ia64;little;fixed;128
m68k;big;unk;unk
mips;big;fixed;32
mips64el;little;fixed;32
mipsel;little;fixed;32
powerpc;big;fixed;32
powerpcspe;big;fixed;32
ppc64;big;unk;unk
ppc64el;little;unk;unk
riscv64;little;fixed;32
s390;big;unk;unk
s390x;big;unk;unk
sh4;BI;unk;unk
sparc;big;fixed;32
sparc64;big;fixed;32
x32;little;unk
