architecture;isa_detect_name;endianness;wordsize;instructionwidth_type;instructionwidth;comment
6502;;little;8;variable;8-32;
68hc08;;big;8;variable;8-16;
68hc11;;big;8;variable;8-40;
78k;;;8 or 16;;;
8051;;little;32;variable;8-128;
alpha;alpha;little;64;fixed;32;
arcompact;;little;32;variable;16-32;
arm64;arm64;little;64;fixed;32;
armeb;;big;32;fixed;32;
armel;armel;little;32;fixed;32;
armhf;armhf;little;32;fixed;32;
avr;;little;8;variable;16-32;
axiscris;;little;32;fixed;16;
blackfin;;little;32;variable;16-32;
cell-spu;;big;32;fixed;32;
clipper;;little;32;variable;2-8;
compactrisc;;little;16;fixed;16;
cray;;NA;64;;;
cuda;;little;32;;32;
epiphany;;little;32;variable;16-32;
fr-v;;NA;32;;;
fr30;;big;32;fixed;16;
ft32;;NA;32;;;
h8-300;;big;8;variable;8-16;
h8s;;big;16;;;
hp-focus;;NA;32;;;
hp-pa;hppa;big;64;fixed;32;
i860;;BI;32/64;;;
ia-64;;little;64;fixed;128;
iq2000;;big;32;;;
m32c;;NA;32;;;
m32r;;BI;32;variable;16-32;
m68k;m68k;big;32;;;
m88k;;BI;32;fixed;32;
mcore;;big;32;fixed;16;
mico32;;big;32;fixed;32;
microblaze;;BI;32/64;fixed;32;
mips16;;BI;16;fixed;16;
mipseb;mips;big;32;fixed;32;
mipsel;mipsel;little;32;fixed;32;
mmix;;big;64;fixed;32;
mn10300;;little;32;;;
moxie;;BI;32;variable;32-48;
msp430;;little;16;;;
nds32;;BI;32/16;variable;16-32;
nios-ii;;little;32;fixed;32;
ocaml;;NA;NA;;;
pdp-11;;little;16;fixed;16;
pic10;;little;8;;;
pic16;;little;8;;;
pic18;;little;8;;;
pic24;;little;16;fixed;24;
ppceb;ppc64;big;64;;;
ppcel;ppc64el;little;64;;;
risc-v;riscv64;little;64;fixed;32;
rl78;;little;16;;;
romp;;big;32;variable;8-32;
rx;;little;16/32/64;;;
s-390;s390;big;32;;;
sparc;sparc64;big;64;fixed;32;
stm8;;;8;;;
stormy16;;little;16;;;
superh;sh4;BI;32;;;
tilepro;;;32;;;
tlcs-90;;;8;;;
tms320c2x;;;16/32;;;
tms320c6x;;BI;32;;;
trimedia;;;;;;
v850;;;32;;;
visium;;;32;;;
wasm;;little;32;;;
we32000;;;32;;;
x86-64;amd64;little;64;variable;8-120;
x86;i386;little;32;variable;8-120;
xtensa;;BI;32;variable;16-24;
z80;;little;8;;8-32;
