"Name","Group","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.num_classes","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.duplicate_to_n_channels","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy","test_loss","train_loss"
"overall_metrics","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T12:14:24.000Z","4","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","","","0.6477514393900099","","","",""
"fold_x32","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T12:13:19.000Z","64","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.04544750601053238","1","","0.976772030651341","0.976772030651341","0.07048970392982785","0.028244599339821732"
"fold_sparc64","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T12:12:15.000Z","63","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.008601045235991478","1","","0.6034798534798534","0.6034798534798534","1.0859478454177196","0.02440430023362904"
"fold_sparc","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T12:11:14.000Z","60","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.0010052721481770277","1","","0.893574297188755","0.893574297188755","0.27430879114530027","0.02848732708549248"
"fold_sh4","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T12:10:12.000Z","60","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.0014583272859454155","1","","0.08077571669477235","0.08077571669477235","4.193777299696399","0.02796631397956202"
"fold_s390x","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T12:09:11.000Z","59","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.0053982120007276535","1","","0.1823063877897117","0.1823063877897117","3.192724287509918","0.02732774994265385"
"fold_s390","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T12:08:09.000Z","60","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.009150362573564053","1","","0.9029821843532144","0.9029821843532144","0.3131498376160492","0.029127700876440985"
"fold_riscv64","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T12:07:09.000Z","59","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.0012038428103551269","1","","0.5105855855855855","0.5105855855855855","1.507700230394091","0.02794652005049391"
"fold_ppc64el","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T12:06:08.000Z","59","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.4432041347026825","1","","0.9789951745671304","0.9789951745671304","0.06748466848927949","0.028598087760518396"
"fold_ppc64","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T12:05:08.000Z","58","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.08296750485897064","1","","0.5485351217790329","0.5485351217790329","0.9424382077323066","0.026394092667869053"
"fold_powerpcspe","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T12:04:08.000Z","59","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.001821239129640162","1","","0.9787932340318102","0.9787932340318102","0.05898570575781407","0.02837610885666669"
"fold_powerpc","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T12:03:08.000Z","59","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.11391490697860718","1","","0.9977967502065548","0.9977967502065548","0.008100265667675749","0.02984075527489667"
"fold_mipsel","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T12:02:08.000Z","59","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.0007084691314958036","1","","0.2895364238410596","0.2895364238410596","2.829058390552715","0.02445578300199556"
"fold_mips64el","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T12:01:09.000Z","58","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.10292840749025343","1","","0.9758812615955472","0.9758812615955472","0.06968723925049691","0.02723643947124518"
"fold_mips","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T12:00:12.000Z","55","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.006473868619650602","1","","0.1326788218793829","0.1326788218793829","3.733356667416437","0.018003063219612755"
"fold_m68k","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T11:59:14.000Z","56","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.010741536505520344","1","","0.017045454545454544","0.017045454545454544","9.356114318405371","0.028017457759125845"
"fold_ia64","logo ResNet50 endianness 12:51:49, 07-03-2025","finished","-","","","2025-03-07T11:58:16.000Z","56","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","5","mikkel-03-07-resnet-endianness","0.00024721864610910416","1","","0.271669341894061","0.271669341894061","1.4698183719928448","0.02840784134394916"
