"Name","Group","Hostname","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.embedding_dim","model.params.input_length","model.params.num_classes","model.params.vocab_size","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.length","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy_file","test_loss","train_loss"
"overall_metrics","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:43:30.000Z","4","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","","","0.8194719643135018","","","",""
"fold_x32","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:42:06.000Z","83","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.00901428796350956","1","","0.9930555555555556","0.9930555555555556","0.015167220841745306","0.005802110362446185"
"fold_sparc64","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:40:39.000Z","85","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.00009789363684831188","1","","0.9847374847374848","0.9847374847374848","0.03954819680746788","0.005075921426588917"
"fold_sparc","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:39:13.000Z","84","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.0006267864955589175","1","","0.9987951807228916","0.9987951807228916","0.002089762459269341","0.0061429648909564205"
"fold_sh4","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:37:49.000Z","83","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.000937042583245784","1","","0.9981450252951096","0.9981450252951096","0.006926834061291189","0.00669056806549752"
"fold_s390x","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:36:22.000Z","86","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.0015921962913125751","1","","0.7639909553420011","0.7639909553420011","0.7335359629775796","0.0055991070400995295"
"fold_s390","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:34:59.000Z","82","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.00582433957606554","1","","0.2846630518977537","0.2846630518977537","1.653915528897886","0.006837931010878769"
"fold_riscv64","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:33:36.000Z","81","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.00005919658360653557","1","","0.9979729729729728","0.9979729729729728","0.005936922304265733","0.0052534535962170305"
"fold_ppc64el","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:32:14.000Z","80","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","1.8309122323989868","1","","1","1","0.00013769490560987054","0.009040196739122812"
"fold_ppc64","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:30:50.000Z","83","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.00020876500639133155","1","","0.9438757500882456","0.9438757500882456","0.14600377215279473","0.0058913741873964235"
