"Name","Hostname","Group","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.embedding_dim","model.params.input_length","model.params.num_classes","model.params.vocab_size","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.duplicate_to_n_channels","transforms.params.length","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy_file","test_loss","train_loss"
"overall_metrics","idun-09-15","logo Simple2dEmbedding instructionwidth_type 04:33:23, 14-03-2025","finished","-","","","2025-03-14T03:40:57.000Z","2","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","","512","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","LOGO_architecture_wandb","10","all-experiments-21262944","","","0.8576067223403704","","","",""
"fold_x32","idun-09-15","logo Simple2dEmbedding instructionwidth_type 04:33:23, 14-03-2025","finished","-","","","2025-03-14T03:40:36.000Z","19","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","","512","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","LOGO_architecture_wandb","10","all-experiments-21262944","0.010453526861965656","1","","0.9997605363984674","0.9997605363984674","0.0008005863472335992","0.008748400335531658"
"fold_sparc64","idun-09-15","logo Simple2dEmbedding instructionwidth_type 04:33:23, 14-03-2025","finished","-","","","2025-03-14T03:40:16.000Z","18","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","","512","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","LOGO_architecture_wandb","10","all-experiments-21262944","0.00005946009696344845","1","","0.912087912087912","0.912087912087912","0.3264943605575424","0.008098912165197572"
"fold_sparc","idun-09-15","logo Simple2dEmbedding instructionwidth_type 04:33:23, 14-03-2025","finished","-","","","2025-03-14T03:39:56.000Z","18","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","","512","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","LOGO_architecture_wandb","10","all-experiments-21262944","0.000004685198746301467","1","","0.9993975903614458","0.9993975903614458","0.0014633313298107764","0.00793494474808906"
"fold_sh4","idun-09-15","logo Simple2dEmbedding instructionwidth_type 04:33:23, 14-03-2025","finished","-","","","2025-03-14T03:39:36.000Z","18","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","","512","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","LOGO_architecture_wandb","10","all-experiments-21262944","0.0000525114155607298","1","","0.999831365935919","0.999831365935919","0.0003726547246372651","0.008649434216832081"
"fold_s390x","idun-09-15","logo Simple2dEmbedding instructionwidth_type 04:33:23, 14-03-2025","finished","-","","","2025-03-14T03:39:16.000Z","19","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","","512","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","LOGO_architecture_wandb","10","all-experiments-21262944","0.010716748423874378","1","","0.9977388355002826","0.9977388355002826","0.014886069992810138","0.00846659490280741"
"fold_s390","idun-09-15","logo Simple2dEmbedding instructionwidth_type 04:33:23, 14-03-2025","finished","-","","","2025-03-14T03:38:57.000Z","18","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","","512","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","LOGO_architecture_wandb","10","all-experiments-21262944","0.00004435839582583867","1","","0.9967079783113864","0.9967079783113864","0.013904846030112102","0.00782364527730067"
"fold_riscv64","idun-09-15","logo Simple2dEmbedding instructionwidth_type 04:33:23, 14-03-2025","finished","-","","","2025-03-14T03:38:37.000Z","18","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","","512","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","LOGO_architecture_wandb","10","all-experiments-21262944","0.011920400895178318","1","","1","1","0.000004378526737157186","0.00855865705205853"
"fold_ppc64el","idun-09-15","logo Simple2dEmbedding instructionwidth_type 04:33:23, 14-03-2025","finished","-","","","2025-03-14T03:38:18.000Z","18","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","","512","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","LOGO_architecture_wandb","10","all-experiments-21262944","0.0000018924331470770992","1","","0.19755889866590973","0.19755889866590973","2.683486385004861","0.008393590516446394"
"fold_ppc64","idun-09-15","logo Simple2dEmbedding instructionwidth_type 04:33:23, 14-03-2025","finished","-","","","2025-03-14T03:37:58.000Z","18","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","","512","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","LOGO_architecture_wandb","10","all-experiments-21262944","0.000021379037207225338","1","","0.7977409106953759","0.7977409106953759","0.3685392459233602","0.008343645643612112"
"fold_powerpcspe","idun-09-15","logo Simple2dEmbedding instructionwidth_type 04:33:23, 14-03-2025","finished","-","","","2025-03-14T03:37:38.000Z","18","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","","512","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","LOGO_architecture_wandb","10","all-experiments-21262944","0.03367583826184273","1","","1","1","0.000002833840146627471","0.00824572638687633"
"fold_powerpc","idun-09-15","logo Simple2dEmbedding instructionwidth_type 04:33:23, 14-03-2025","finished","-","","","2025-03-14T03:37:18.000Z","19","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","","512","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","LOGO_architecture_wandb","10","all-experiments-21262944","0.00001620121292944532","1","","1","1","4.8791443996165646e-8","0.007885717048372392"
