"Name","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.input_length","model.params.num_classes","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.length","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy","test_loss","train_loss"
"overall_metrics","finished","-","","","2025-02-24T17:20:05.000Z","3","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","","","0.8928575133565019","","",""
"fold_x32","finished","-","","","2025-02-24T17:19:42.000Z","21","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.013633040711283684","1","","0.992337164750958","0.04690104273366601","0.014945667633070574"
"fold_sparc64","finished","-","","","2025-02-24T17:19:19.000Z","22","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.012289757840335367","1","","0.9508547008547008","0.4795706650094452","0.01530007499602624"
"fold_sparc","finished","-","","","2025-02-24T17:18:56.000Z","21","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.00022499171609524635","1","","0.998995983935743","0.0013657259436606695","0.015582155083728589"
"fold_sh4","finished","-","","","2025-02-24T17:18:33.000Z","21","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.000009040526492753996","1","","1","0.000016278967737586994","0.014562402132774054"
"fold_s390x","finished","-","","","2025-02-24T17:18:11.000Z","21","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.013712434098124504","1","","1","0.0001077524613210455","0.015132724447038871"
"fold_s390","finished","-","","","2025-02-24T17:17:48.000Z","21","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.02515849843621254","1","","1","0.00007924915524618562","0.014984099818797876"
"fold_riscv64","finished","-","","","2025-02-24T17:17:26.000Z","21","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.01534473616629839","1","","0.8265765765765766","0.6263761631080083","0.014243947411028924"
"fold_ppc64el","finished","-","","","2025-02-24T17:17:03.000Z","22","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.0003308068844489753","1","","1","0.000002639781473539366","0.01487520954349863"
"fold_ppc64","finished","-","","","2025-02-24T17:16:40.000Z","22","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.0009760410175658762","1","","0.799858806918461","0.7366201635864046","0.015154200149454611"
"fold_powerpcspe","finished","-","","","2025-02-24T17:16:17.000Z","22","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.04334239661693573","1","","1","0.000003873465630065087","0.014700357581153994"
"fold_powerpc","finished","-","","","2025-02-24T17:15:55.000Z","21","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.022141331806778908","1","","1","1.4672269800679048e-8","0.015629149644804313"
"fold_mipsel","finished","-","","","2025-02-24T17:15:32.000Z","22","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.00001326098936260678","1","","0.9957615894039736","0.019991991556944696","0.01471992728152646"
"fold_mips64el","finished","-","","","2025-02-24T17:15:10.000Z","21","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.0000047562734835082665","1","","1","0.000010705814902965113","0.014257417400018431"
"fold_mips","finished","-","","","2025-02-24T17:14:47.000Z","21","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.00001901786345115397","1","","0.9758765778401122","0.06977966294133305","0.01603958960328723"
"fold_m68k","finished","-","","","2025-02-24T17:14:25.000Z","21","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.03487798571586609","1","","0.00022727272727272727","17.313618425009906","0.015368166252294646"
"fold_ia64","finished","-","","","2025-02-24T17:14:03.000Z","21","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.0000082122542153229","1","","0.9097110754414124","0.5743528436391782","0.015155889202962545"
"fold_i386","finished","-","","","2025-02-24T17:13:41.000Z","21","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.0002920186670962721","1","","0.998825601879037","0.004199701771040054","0.015138681385851336"
"fold_hppa","finished","-","","","2025-02-24T17:13:19.000Z","20","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.03488841652870178","1","","0.7807453416149068","1.280272214428375","0.014593636514447525"
"fold_armhf","finished","-","","","2025-02-24T17:12:57.000Z","20","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","4.9670518365019234e-8","1","","0.9569461827284104","0.1778804532119206","0.014090747861310916"
"fold_armel","finished","-","","","2025-02-24T17:12:34.000Z","21","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.0004278164997231215","1","","0.9915","0.029045926140177303","0.014128023598226153"
"fold_arm64","finished","-","","","2025-02-24T17:12:12.000Z","21","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","5.545806516238372e-7","1","","0.30363036303630364","4.269642185746577","0.01560849676067108"
"fold_amd64","finished","-","","","2025-02-24T17:11:50.000Z","21","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0.02579074539244175","1","","0.9912963811268896","0.030159032140202897","0.014604770504542609"
"fold_alpha","finished","-","","","2025-02-24T17:11:26.000Z","23","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","20","mikkel-02-24","0","1","","0.9997481742634096","0.0013367261134200298","0.014698581824285328"
"overall_metrics","finished","-","","","2025-02-24T17:11:11.000Z","3","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","19","mikkel-02-24","","","0.8584262669225582","","",""
"fold_x32","finished","-","","","2025-02-24T17:10:48.000Z","22","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","19","mikkel-02-24","0.01436285860836506","1","","1","0.000256042913277881","0.014844221890117288"
"fold_sparc64","finished","-","","","2025-02-24T17:10:25.000Z","22","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","19","mikkel-02-24","0.042178597301244736","1","","0.935897435897436","0.651403009997851","0.016081705167347676"
