"Name","Group","Hostname","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.input_length","model.params.num_classes","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.length","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy","test_loss","train_loss"
"overall_metrics","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:45:33.000Z","2","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","","","0.6793298407593755","","","",""
"fold_x32","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:45:18.000Z","13","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.043728701770305634","1","","0.9897030651340996","0.9897030651340996","0.1452945694820273","0.04201931124496937"
"fold_sparc64","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:45:05.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.021710362285375595","1","","0.9621489621489622","0.9621489621489622","0.12573786051227495","0.04370344609960864"
"fold_sparc","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:44:52.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.0016774235991761088","1","","0.9977911646586344","0.9977911646586344","0.03184989553231459","0.04523731995623821"
"fold_sh4","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:44:39.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.05549315363168717","1","","0.5107925801011804","0.5107925801011804","0.669681268033161","0.04559628579284254"
"fold_s390x","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:44:26.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.0146402595564723","1","","0.003674392312040701","0.003674392312040701","9.499455724443708","0.03987533171624853"
"fold_s390","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:44:13.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.019183747470378876","1","","0.045701006971340045","0.045701006971340045","1.5374096499549017","0.04313320852411998"
"fold_riscv64","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:44:00.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.00948354508727789","1","","0.2619369369369369","0.2619369369369369","1.790016623905727","0.04421378529261021"
"fold_ppc64el","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:43:46.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.000008061417247517966","1","","0.006528526823729776","0.006528526823729776","7.431136412279947","0.042966034252311915"
"fold_ppc64","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:43:33.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.009511888027191162","1","","0.9008118602188492","0.9008118602188492","0.23349133448468315","0.04353826749689954"
"fold_powerpcspe","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:43:20.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.0019759114366024733","1","","1","1","0.00005695448866213559","0.045225257702191136"
"fold_powerpc","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:43:06.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.010644545778632164","1","","0.9997245937758192","0.9997245937758192","0.001037468304606623","0.042361235842279334"
"fold_mipsel","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:42:53.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.009656206704676151","1","","0.7811920529801325","0.7811920529801325","0.4337810187016503","0.04171070392452276"
