"Name","Hostname","Group","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.embedding_dim","model.params.input_length","model.params.num_classes","model.params.vocab_size","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.duplicate_to_n_channels","transforms.params.length","transforms.params.normalize","validator.n_splits","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy_file","test_dataset_size","test_loss","time_taken","train_dataset_size","train_loss"
"overall_metrics","idun-07-09","kfold ResNet50Embedding instructionwidth_type 21:39:23, 07-05-2025","finished","-","","","2025-05-07T19:45:16.000Z","4","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","5","kfold_cv","10","kfold-all-22621667","","","0.9986410083510556","","","","","00:05:53","",""
"fold_5","idun-07-09","kfold ResNet50Embedding instructionwidth_type 21:39:23, 07-05-2025","finished","-","","","2025-05-07T19:44:06.000Z","69","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","5","kfold_cv","10","kfold-all-22621667","0.000026266867280355655","1","","0.9987551221536388","0.9987551221536388","19279","0.00482212865473273","","77116","0.007237136663049542"
"fold_4","idun-07-09","kfold ResNet50Embedding instructionwidth_type 21:39:23, 07-05-2025","finished","-","","","2025-05-07T19:42:55.000Z","69","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","5","kfold_cv","10","kfold-all-22621667","0.0004608789458870888","1","","0.9973027646662171","0.9973027646662171","19279","0.007835066714064007","","77116","0.008553130244384559"
"fold_3","idun-07-09","kfold ResNet50Embedding instructionwidth_type 21:39:23, 07-05-2025","finished","-","","","2025-05-07T19:41:44.000Z","69","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","5","kfold_cv","10","kfold-all-22621667","0.000406652718083933","1","","0.9987032522433736","0.9987032522433736","19279","0.0034132246617352715","","77116","0.008179515614445418"
"fold_2","idun-07-09","kfold ResNet50Embedding instructionwidth_type 21:39:23, 07-05-2025","finished","-","","","2025-05-07T19:40:34.000Z","69","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","5","kfold_cv","10","kfold-all-22621667","0.0006798483664169908","1","","0.9993775610768192","0.9993775610768192","19279","0.0023168838319366203","","77116","0.007945399504158302"
"fold_1","idun-07-09","kfold ResNet50Embedding instructionwidth_type 21:39:23, 07-05-2025","finished","-","","","2025-05-07T19:39:23.000Z","70","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","5","kfold_cv","10","kfold-all-22621667","0.002162155462428927","1","","0.999066341615229","0.999066341615229","19279","0.002524674592863876","","77116","0.0067854525714376515"
"overall_metrics","idun-07-09","kfold ResNet50Embedding instructionwidth_type 21:32:30, 07-05-2025","finished","-","","","2025-05-07T19:39:07.000Z","5","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","5","kfold_cv","9","kfold-all-22621667","","","0.9988796099382748","","","","","00:06:36","",""
"fold_5","idun-07-09","kfold ResNet50Embedding instructionwidth_type 21:32:30, 07-05-2025","finished","-","","","2025-05-07T19:37:56.000Z","70","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","5","kfold_cv","9","kfold-all-22621667","0.0010940831853076816","1","","0.9987551221536388","0.9987551221536388","19279","0.004382773391132063","","77116","0.008463789612217613"
"fold_4","idun-07-09","kfold ResNet50Embedding instructionwidth_type 21:32:30, 07-05-2025","finished","-","","","2025-05-07T19:36:44.000Z","71","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","5","kfold_cv","9","kfold-all-22621667","0.000033119435101980343","1","","0.9992738212562892","0.9992738212562892","19279","0.003523711998136768","","77116","0.010330292603230267"
"fold_3","idun-07-09","kfold ResNet50Embedding instructionwidth_type 21:32:30, 07-05-2025","finished","-","","","2025-05-07T19:35:32.000Z","71","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","5","kfold_cv","9","kfold-all-22621667","0.00005809944559587166","1","","0.999066341615229","0.999066341615229","19279","0.003142675889562136","","77116","0.009692729382719992"
