"Name","Group","Hostname","GPU Type","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.input_length","model.params.num_classes","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.duplicate_to_n_channels","transforms.params.length","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","model.params.embedding_dim","model.params.vocab_size","batch_loss","epoch","group_left_out","overall_accuracy","test_accuracy_chunk","test_accuracy_file","test_dataset_size","test_loss","time_taken","train_dataset_size","train_loss"
"overall_metrics","logo ResNet50 endianness 10:35:03, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T09:00:30.000Z","10","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","logo_cv","10","logo-all-05-05-2025","","","","","","0.6485294880439857","","","","","00:25:26","",""
"fold_x32","logo ResNet50 endianness 10:35:03, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T08:59:18.000Z","71","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","logo_cv","10","logo-all-05-05-2025","","","0.013751124031841757","1","x32","","0.9801245210727968","0.9801245210727968","4176","0.0827203815746488","","92219","0.031127331501890412"
"fold_sparc64","logo ResNet50 endianness 10:35:03, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T08:58:06.000Z","70","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","logo_cv","10","logo-all-05-05-2025","","","0.0687767043709755","1","sparc64","","0.47924297924297926","0.47924297924297926","3276","1.6519168867514684","","93119","0.023806381431533043"
"fold_sparc","logo ResNet50 endianness 10:35:03, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T08:56:55.000Z","69","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","logo_cv","10","logo-all-05-05-2025","","","0.01812726259231567","1","sparc","","0.6048192771084338","0.6048192771084338","4980","1.049619383154771","","91415","0.03286639215565023"
"fold_sh4","logo ResNet50 endianness 10:35:03, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T08:55:45.000Z","69","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","logo_cv","10","logo-all-05-05-2025","","","0.003992806188762188","1","sh4","","0.5160202360876898","0.5160202360876898","5930","3.4544827143351235","","90465","0.03203551220553472"
"fold_s390x","logo ResNet50 endianness 10:35:03, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T08:54:34.000Z","70","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","logo_cv","10","logo-all-05-05-2025","","","0.04784267768263817","1","s390x","","0.6105144149236857","0.6105144149236857","3538","1.555709536586489","","92857","0.028928594510417575"
"fold_s390","logo ResNet50 endianness 10:35:03, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T08:53:23.000Z","70","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","logo_cv","10","logo-all-05-05-2025","","","0.1114245280623436","1","s390","","0.003098373353989156","0.003098373353989156","5164","6.692628254125148","","91231","0.031792045473087636"
"fold_riscv64","logo ResNet50 endianness 10:35:03, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T08:52:11.000Z","71","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","logo_cv","10","logo-all-05-05-2025","","","0.07615475356578827","1","riscv64","","0.5756756756756757","0.5756756756756757","4440","1.1129450687340328","","91955","0.031198702292275733"
"fold_ppc64el","logo ResNet50 endianness 10:35:03, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T08:51:00.000Z","69","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","logo_cv","10","logo-all-05-05-2025","","","0.0004496719921007752","1","ppc64el","","0.518024411013341","0.518024411013341","3523","1.348641572786229","","92872","0.03326389526336752"
"fold_ppc64","logo ResNet50 endianness 10:35:03, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T08:49:51.000Z","68","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","logo_cv","10","logo-all-05-05-2025","","","0.0012426910689100623","1","ppc64","","0.9424638192728556","0.9424638192728556","2833","0.17640375888182058","","93562","0.030484115262683065"
"fold_powerpcspe","logo ResNet50 endianness 10:35:03, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T08:48:43.000Z","66","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","logo_cv","10","logo-all-05-05-2025","","","0.0030416774097830057","1","powerpcspe","","0.9649078515526384","0.9649078515526384","3961","0.09025878289474114","","92434","0.029345737948166178"
"fold_powerpc","logo ResNet50 endianness 10:35:03, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T08:47:35.000Z","67","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","logo_cv","10","logo-all-05-05-2025","","","0.0020368576515465975","1","powerpc","","0.9988983751032772","0.9988983751032772","3631","0.0077067729710650285","","92764","0.0312833210795612"
"fold_mipsel","logo ResNet50 endianness 10:35:03, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T08:46:26.000Z","67","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","logo_cv","10","logo-all-05-05-2025","","","0.0002216938737547025","1","mipsel","","0.24397350993377484","0.24397350993377484","3775","2.544158248578088","","92620","0.025590840974433197"
"fold_mips64el","logo ResNet50 endianness 10:35:03, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T08:45:21.000Z","64","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","logo_cv","10","logo-all-05-05-2025","","","0.0011206851340830326","1","mips64el","","0.9686920222634507","0.9686920222634507","4312","0.08001977062838919","","92083","0.031310333389157195"
"fold_mips","logo ResNet50 endianness 10:35:03, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T08:44:16.000Z","63","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","logo_cv","10","logo-all-05-05-2025","","","0.0005453729536384344","1","mips","","0.314726507713885","0.314726507713885","3565","3.3859034734112874","","92830","0.02366143829436212"
"fold_m68k","logo ResNet50 endianness 10:35:03, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T08:43:12.000Z","62","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","logo_cv","10","logo-all-05-05-2025","","","0.15761886537075043","1","m68k","","0.01977272727272727","0.01977272727272727","4400","7.3659994153008945","","91995","0.029073133892318175"
