"Name","Group","Hostname","GPU Type","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.input_length","model.params.num_classes","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.duplicate_to_n_channels","transforms.params.length","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","model.params.embedding_dim","model.params.vocab_size","batch_loss","epoch","group_left_out","overall_accuracy","test_accuracy_chunk","test_accuracy_file","test_dataset_size","test_loss","time_taken","train_dataset_size","train_loss"
"overall_metrics","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T14:00:28.000Z","1304","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","","","","0.7652160381762539","","","","","00:29:20","",""
"fold_x32","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:59:04.000Z","82","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.0003781697887461633","1","x32","","1","1","4176","0.0016151556539460382","","92219","0.004003943724255976"
"fold_sparc64","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:57:38.000Z","84","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.00001669370976742357","1","sparc64","","0.8308913308913309","0.8308913308913309","3276","0.5450940685203443","","93119","0.005414465151505945"
"fold_sparc","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:56:15.000Z","82","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.000031335373932961375","1","sparc","","0.7251004016064257","0.7251004016064257","4980","0.9062710263026066","","91415","0.004367557859971151"
"fold_sh4","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:54:54.000Z","79","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.0006219404749572277","1","sh4","","0.993929173693086","0.993929173693086","5930","0.016101823423698706","","90465","0.004637989568642256"
"fold_s390x","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:53:33.000Z","80","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.00026243008323945105","1","s390x","","0.5681175805539853","0.5681175805539853","3538","1.199695776615824","","92857","0.004028374730055954"
"fold_s390","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:52:11.000Z","80","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.0000420744763687253","1","s390","","0.96998450813323","0.96998450813323","5164","0.13322686525291683","","91231","0.005042150159160411"
"fold_riscv64","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:50:50.000Z","80","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.0006159153417684138","1","riscv64","","0.7833333333333333","0.7833333333333333","4440","0.4836013266018459","","91955","0.004484411313257555"
"fold_ppc64el","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:49:31.000Z","78","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.0248534195125103","1","ppc64el","","0.9948907181379506","0.9948907181379506","3523","0.04833812828292139","","92872","0.005391768987218706"
"fold_ppc64","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:48:11.000Z","78","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.0006131500122137368","1","ppc64","","0.4433462760324744","0.4433462760324744","2833","1.1325219141112433","","93562","0.005301905360809364"
"fold_powerpcspe","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:46:52.000Z","77","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.000825832539703697","1","powerpcspe","","0.9994950770007572","0.9994950770007572","3961","0.0012103112363078135","","92434","0.004397430180385643"
"fold_powerpc","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:45:34.000Z","76","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.000042469928303034976","1","powerpc","","1","1","3631","0.00024753676553588953","","92764","0.0043801028985640655"
"fold_mipsel","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:44:17.000Z","75","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.000003506713483147905","1","mipsel","","0.997615894039735","0.997615894039735","3775","0.005515860442046995","","92620","0.0041857371358106354"
"fold_mips64el","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:42:58.000Z","77","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.00000973225451161852","1","mips64el","","0.983534322820037","0.983534322820037","4312","0.04453072736642378","","92083","0.003124515027977706"
"fold_mips","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:41:42.000Z","75","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.000008328380317834672","1","mips","","0.6241234221598878","0.6241234221598878","3565","1.422893341098513","","92830","0.0040007943741582255"
"fold_m68k","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:40:28.000Z","73","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.00002199497066612821","1","m68k","","0.00022727272727272727","0.00022727272727272727","4400","13.254116569740184","","91995","0.004206576495505092"
"fold_ia64","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:39:16.000Z","71","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.3353950083255768","1","ia64","","0.3471107544141252","0.3471107544141252","4984","2.778083712626726","","91411","0.003710832670700279"
"fold_i386","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:38:04.000Z","71","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.00005644431439577602","1","i386","","0.9954981405363084","0.9954981405363084","5109","0.011944856927584624","","91286","0.003987258468076683"
"fold_hppa","logo ResNet50Embedding endianness 15:31:06, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T13:36:53.000Z","69","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","1024","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","logo_cv","10","logo-all-05-05-2025","128","256","0.00011051032197428869","1","hppa","","0.11697722567287784","0.11697722567287784","4830","5.269669721001073","","91565","0.003833070231799245"
