"Name","Group","Hostname","GPU Type","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.input_length","model.params.num_classes","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.duplicate_to_n_channels","transforms.params.length","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","model.params.embedding_dim","model.params.vocab_size","batch_loss","epoch","group_left_out","overall_accuracy","test_accuracy_chunk","test_accuracy_file","test_dataset_size","test_loss","time_taken","train_dataset_size","train_loss"
"overall_metrics","logo Simple1dEmbedding endianness 04:47:18, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T02:53:09.000Z","5","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","","","","0.8651797292390684","","","","","00:05:51","",""
"fold_x32","logo Simple1dEmbedding endianness 04:47:18, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T02:52:54.000Z","14","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","0.0000046145814849296585","1","x32","","1","1","4176","0.0002339722358971787","","92219","0.007865665829755139"
"fold_sparc64","logo Simple1dEmbedding endianness 04:47:18, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T02:52:38.000Z","15","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","0.000002927060904767131","1","sparc64","","0.9884004884004884","0.9884004884004884","3276","0.0467575181837018","","93119","0.0068382909675265"
"fold_sparc","logo Simple1dEmbedding endianness 04:47:18, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T02:52:23.000Z","14","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","5.183000553188322e-7","1","sparc","","0.9961847389558232","0.9961847389558232","4980","0.008201054948679088","","91415","0.00796091756831689"
"fold_sh4","logo Simple1dEmbedding endianness 04:47:18, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T02:52:07.000Z","15","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","8.741897659092501e-7","1","sh4","","0.9681281618887017","0.9681281618887017","5930","0.09155838364755274","","90465","0.007504974958295904"
"fold_s390x","logo Simple1dEmbedding endianness 04:47:18, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T02:51:52.000Z","14","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","0.00005745113594457507","1","s390x","","1","1","3538","0.000009129731345020836","","92857","0.007807371323574603"
"fold_s390","logo Simple1dEmbedding endianness 04:47:18, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T02:51:37.000Z","14","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","0.0006899952422827482","1","s390","","0.9992254066615028","0.9992254066615028","5164","0.002712804372289852","","91231","0.007845262112417047"
"fold_riscv64","logo Simple1dEmbedding endianness 04:47:18, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T02:51:21.000Z","14","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","0.016775114461779594","1","riscv64","","0.8801801801801802","0.8801801801801802","4440","0.3079047063631671","","91955","0.007430799723245902"
"fold_ppc64el","logo Simple1dEmbedding endianness 04:47:18, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T02:51:06.000Z","14","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","2.533196266085725e-7","1","ppc64el","","1","1","3523","5.2550935771595545e-8","","92872","0.008114018991491908"
"fold_ppc64","logo Simple1dEmbedding endianness 04:47:18, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T02:50:51.000Z","14","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","0.000022406702555599622","1","ppc64","","0.8969290504765266","0.8969290504765266","2833","0.4404592032233874","","93562","0.0076963049307200515"
