"Name","Hostname","Group","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.embedding_dim","model.params.input_length","model.params.num_classes","model.params.vocab_size","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.duplicate_to_n_channels","transforms.params.length","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy_file","test_loss","train_loss"
"overall_metrics","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T07:14:39.000Z","4","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","","","0.8142745993049432","","","",""
"fold_x32","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T07:12:35.000Z","123","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.0014422787353396416","1","","0.9698275862068966","0.9698275862068966","0.11411855874943952","0.028592566835681815"
"fold_sparc64","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T07:10:32.000Z","122","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.004278949927538633","1","","0.8565323565323565","0.8565323565323565","0.3641909918246361","0.024838370549233706"
"fold_sparc","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T07:08:32.000Z","119","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.03439057618379593","1","","0.809437751004016","0.809437751004016","0.41744565467039746","0.028148845352479787"
"fold_sh4","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T07:06:33.000Z","117","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.001472526928409934","1","","0.9905564924114671","0.9905564924114671","0.03296468030881657","0.02940824015487642"
"fold_s390x","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T07:04:32.000Z","119","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.017088960856199265","1","","0.9576031656302996","0.9576031656302996","0.09534903905088347","0.02656191088327457"
"fold_s390","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T07:02:34.000Z","117","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.0004863610083702952","1","","0.2569713400464756","0.2569713400464756","1.6239546449096114","0.02948896330328192"
"fold_riscv64","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T07:00:38.000Z","115","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.009510536678135397","1","","0.9033783783783784","0.9033783783783784","0.2590841157095773","0.02759674284799577"
"fold_ppc64el","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T06:58:43.000Z","114","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.08465974777936935","1","","0.92619926199262","0.92619926199262","0.2154595896468631","0.02810140234475058"
"fold_ppc64","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T06:56:47.000Z","114","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.00735110230743885","1","","0.7532650900105895","0.7532650900105895","0.714140858915117","0.029233682568023545"
"fold_powerpcspe","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T06:54:49.000Z","117","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.0010751682566478848","1","","0.9707144660439284","0.9707144660439284","0.0773660916714899","0.0272192400444104"
"fold_powerpc","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T06:52:57.000Z","111","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.03312458097934723","1","","0.9988983751032772","0.9988983751032772","0.0031630638032016066","0.02884468146812588"
"fold_mipsel","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T06:51:05.000Z","111","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.4843170940876007","1","","0.9849006622516556","0.9849006622516556","0.046711181653505664","0.02618438252668147"
"fold_mips64el","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T06:49:15.000Z","109","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.06338220089673996","1","","0.9299628942486086","0.9299628942486086","0.18115720826694193","0.02632694772550321"
"fold_mips","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T06:47:25.000Z","108","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.0028151157312095165","1","","0.9812061711079944","0.9812061711079944","0.05458492561176952","0.028571524575042095"
"fold_m68k","idun-09-15","logo ResNet50 instructionwidth_type 07:32:08, 14-03-2025","finished","-","","","2025-03-14T06:45:37.000Z","107","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","5","all-experiments-21262944","0.00020564679289236665","1","","0.8995454545454545","0.8995454545454545","0.30174287181833515","0.02927121412397713"
