Architecture,Libraries,Text_Size
arc,libfreetype.a,632.766 KB
arc,libgit2.a,1273.53 KB
arc,libjpeg.a,191.941 KB
arc,liblibpng16.a,174.25 KB
arc,liblzma.a,149.59 KB
arc,libpcre2-8.a,288.977 KB
arc,libsharpyuv.a,10.543 KB
arc,libwebp.a,259.562 KB
arc,libwebpdecoder.a,107.594 KB
arc,libwebpdemux.a,6.17969 KB
arc,libwebpmux.a,18.3828 KB
arc,libyaml.a,113.043 KB
arc,libzlib.a,73.4531 KB
arceb,libfreetype.a,632.578 KB
arceb,libjpeg.a,188.191 KB
arceb,liblibpng16.a,173.727 KB
arceb,liblzma.a,149.512 KB
arceb,libsharpyuv.a,9.96875 KB
arceb,libwebp.a,259.008 KB
arceb,libwebpdecoder.a,106.043 KB
arceb,libwebpdemux.a,6.19141 KB
arceb,libwebpmux.a,18.9219 KB
arceb,libyaml.a,113.043 KB
arceb,libzlib.a,72.7031 KB
bfin,libfreetype.a,516.688 KB
bfin,libgit2.a,1070.19 KB
bfin,libjpeg.a,213.836 KB
bfin,liblibpng16.a,150.203 KB
bfin,liblzma.a,128.992 KB
bfin,libpcre2-8.a,280.484 KB
bfin,libsharpyuv.a,12.1133 KB
bfin,libwebp.a,262.66 KB
bfin,libwebpdecoder.a,105.309 KB
bfin,libwebpdemux.a,7.01562 KB
bfin,libwebpmux.a,20.3242 KB
bfin,libyaml.a,115.082 KB
bfin,libzlib.a,59.6641 KB
c6x,libfreetype.a,1346.09 KB
c6x,libgit2.a,2624.75 KB
c6x,liblzma.a,329.469 KB
c6x,libpcre2-8.a,692.5 KB
c6x,libsharpyuv.a,19.3125 KB
c6x,libyaml.a,259.781 KB
cr16,libfreetype.a,573.58 KB
cr16,libjpeg.a,226.004 KB
cr16,liblibpng16.a,158.678 KB
cr16,liblzma.a,143.699 KB
cr16,libpcre2-8.a,286.844 KB
cr16,libsharpyuv.a,17.3301 KB
cr16,libyaml.a,114.057 KB
cr16,libzlib.a,62.9297 KB
cris,libfreetype.a,786.324 KB
cris,libgit2.a,1554.04 KB
cris,libjpeg.a,233.504 KB
cris,liblibpng16.a,213.16 KB
cris,liblzma.a,186.336 KB
cris,libpcre2-8.a,372.371 KB
cris,libsharpyuv.a,14.3477 KB
cris,libwebp.a,316.285 KB
cris,libwebpdecoder.a,119.57 KB
cris,libwebpdemux.a,7.33594 KB
cris,libwebpmux.a,22.707 KB
cris,libyaml.a,156.203 KB
cris,libzlib.a,88.2344 KB
csky,libfreetype.a,851.461 KB
csky,libgit2.a,1717.88 KB
csky,libjpeg.a,186.787 KB
csky,liblibpng16.a,233.814 KB
csky,liblzma.a,198.645 KB
csky,libpcre2-8.a,381.945 KB
csky,libsharpyuv.a,13.4805 KB
csky,libwebp.a,279.094 KB
csky,libwebpdecoder.a,114.334 KB
csky,libwebpdemux.a,7.03125 KB
csky,libwebpmux.a,20.7383 KB
csky,libyaml.a,148.064 KB
csky,libzlib.a,91.7227 KB
epiphany,liblibpng16.a,170.5 KB
epiphany,libsharpyuv.a,16.9023 KB
epiphany,libyaml.a,84.2305 KB
epiphany,libzlib.a,62.9727 KB
fr30,libfreetype.a,1090.45 KB
fr30,libjpeg.a,259.016 KB
fr30,liblibpng16.a,288.566 KB
fr30,liblzma.a,253.543 KB
fr30,libyaml.a,201.316 KB
fr30,libzlib.a,122.602 KB
frv,libfreetype.a,910.719 KB
frv,libgit2.a,2010.69 KB
frv,libjpeg.a,296.016 KB
frv,liblibpng16.a,251.219 KB
frv,liblzma.a,222.312 KB
frv,libpcre2-8.a,422.172 KB
frv,libsharpyuv.a,18.7031 KB
frv,libwebp.a,411.406 KB
frv,libwebpdecoder.a,164.984 KB
frv,libwebpdemux.a,11.4844 KB
frv,libwebpmux.a,34.9844 KB
frv,libyaml.a,170.625 KB
frv,libzlib.a,108.047 KB
ft32,libfreetype.a,91.8633 KB
ft32,libpcre2-8.a,73.6016 KB
ft32,libsharpyuv.a,13.5117 KB
ft32,libwebp.a,156.766 KB
ft32,libwebpdecoder.a,50.9844 KB
ft32,libwebpdemux.a,3.64062 KB
ft32,libwebpmux.a,7.50391 KB
ft32,libyaml.a,26.8359 KB
ft32,libzlib.a,21.1602 KB
h8300,libfreetype.a,954.949 KB
h8300,libgit2.a,1859.79 KB
h8300,libjpeg.a,335.113 KB
h8300,liblibpng16.a,253.115 KB
h8300,liblzma.a,242.238 KB
h8300,libpcre2-8.a,464.037 KB
h8300,libyaml.a,175.756 KB
h8300,libzlib.a,111.809 KB
iq2000,libfreetype.a,1172.7 KB
iq2000,libjpeg.a,320.875 KB
iq2000,liblibpng16.a,313.492 KB
iq2000,liblzma.a,273.836 KB
iq2000,libsharpyuv.a,19.8477 KB
iq2000,libyaml.a,226.355 KB
iq2000,libzlib.a,131.898 KB
kvx,libfreetype.a,848.734 KB
kvx,libgit2.a,1691.18 KB
kvx,libjpeg.a,459.215 KB
kvx,liblibpng16.a,237.316 KB
kvx,liblzma.a,192.289 KB
kvx,libpcre2-8.a,487.625 KB
kvx,libsharpyuv.a,19.2734 KB
kvx,libwebp.a,542.129 KB
kvx,libwebpdecoder.a,227.211 KB
kvx,libwebpdemux.a,10.6797 KB
kvx,libwebpmux.a,40.2227 KB
kvx,libyaml.a,156.371 KB
kvx,libzlib.a,99.8359 KB
lm32,libfreetype.a,983.293 KB
lm32,libjpeg.a,352.07 KB
lm32,liblibpng16.a,257.223 KB
lm32,liblzma.a,240.695 KB
lm32,libpcre2-8.a,443.055 KB
lm32,libsharpyuv.a,26.9219 KB
lm32,libwebp.a,528.613 KB
lm32,libwebpdecoder.a,237.723 KB
lm32,libwebpdemux.a,11.6211 KB
lm32,libwebpmux.a,36.8555 KB
lm32,libyaml.a,166.508 KB
lm32,libzlib.a,107.875 KB
loongarch64,libfreetype.a,847.723 KB
loongarch64,libgit2.a,1700.09 KB
loongarch64,libjpeg.a,390.141 KB
loongarch64,liblibpng16.a,242.543 KB
loongarch64,liblzma.a,205.906 KB
loongarch64,libpcre2-8.a,446.07 KB
loongarch64,libsharpyuv.a,23.168 KB
loongarch64,libwebp.a,440.047 KB
loongarch64,libwebpdecoder.a,213.496 KB
loongarch64,libwebpdemux.a,10.8398 KB
loongarch64,libwebpmux.a,31.8945 KB
loongarch64,libyaml.a,161.562 KB
loongarch64,libzlib.a,100.746 KB
m32r,libfreetype.a,697.98 KB
m32r,libjpeg.a,232.57 KB
m32r,liblibpng16.a,185.598 KB
m32r,liblzma.a,165.84 KB
m32r,libsharpyuv.a,12.7422 KB
m32r,libwebp.a,324.203 KB
m32r,libwebpdecoder.a,132.648 KB
m32r,libwebpdemux.a,8.66406 KB
m32r,libwebpmux.a,25.1797 KB
m32r,libyaml.a,131.922 KB
m32r,libzlib.a,80.4258 KB
m68k-elf,libfreetype.a,615.291 KB
m68k-elf,libjpeg.a,234.654 KB
m68k-elf,liblibpng16.a,165.746 KB
m68k-elf,liblzma.a,145.686 KB
m68k-elf,libsharpyuv.a,12.7441 KB
m68k-elf,libwebp.a,329.498 KB
m68k-elf,libwebpdecoder.a,131.027 KB
m68k-elf,libwebpdemux.a,7.82031 KB
m68k-elf,libwebpmux.a,25.082 KB
m68k-elf,libyaml.a,128.83 KB
m68k-elf,libzlib.a,70.1602 KB
mcore,libfreetype.a,572.648 KB
mcore,libjpeg.a,192.41 KB
mcore,liblibpng16.a,163.643 KB
mcore,liblzma.a,146.408 KB
mcore,libyaml.a,128.656 KB
mcore,libzlib.a,64.6953 KB
mcoreeb,libfreetype.a,572.645 KB
mcoreeb,libjpeg.a,192.852 KB
mcoreeb,liblibpng16.a,163.65 KB
mcoreeb,liblzma.a,146.264 KB
mcoreeb,libyaml.a,128.656 KB
mcoreeb,libzlib.a,64.6953 KB
microblaze,libfreetype.a,999.312 KB
microblaze,libgit2.a,1998.21 KB
microblaze,libjpeg.a,441.531 KB
microblaze,liblibpng16.a,274.508 KB
microblaze,liblzma.a,248.262 KB
microblaze,libpcre2-8.a,538.078 KB
